Run,Lumi,Event,MR,Rsq,HT,MET,nJets,nBJets
148029,388,302318745,215.553,0.0319766,203.666,18.311,2,0
148029,388,302323641,155.437,0.0421566,154.659,14.7747,2,0
148029,388,302336217,400.563,0.0269384,343.28,25.2211,3,0
148029,388,302382289,286.245,0.0941924,257.397,46.0288,2,0
148029,388,302403873,204.514,0.018804,269.492,8.11345,3,0
148029,388,302420793,263.468,0.00434691,217.054,2.67841,2,0
148029,388,302439193,335.945,0.0165616,175.667,18.4822,2,0
148029,388,302419121,307.939,0.00925187,285.326,6.15179,2,0
148029,388,302401313,1030.24,0.0174539,862.453,41.0785,2,0
148029,388,302453729,396.081,0.0206676,267.875,22.5574,3,0
148029,388,302449521,223.242,0.0261194,217.898,9.95002,2,0
148029,388,302463329,487.458,0.0078653,213.74,17.5272,3,0
148029,388,302473705,272.245,0.0566461,266.674,24.213,2,0
148029,388,302478441,314.676,0.0198561,224.177,16.5481,2,0
148029,388,302509121,214.292,0.0395587,166.235,19.1628,2,1
148029,388,302483593,768.637,0.00592479,363.796,21.9777,4,0
148029,388,302516761,221.87,0.0167956,232.764,7.01557,3,0
148029,388,302509633,210.786,0.044379,168.157,19.8297,2,1
148029,388,302521081,408.74,0.0174582,261.982,17.9471,2,0
148029,388,302540241,204.467,0.0160786,200.315,6.37355,2,0
148029,388,302537913,415.087,0.00737659,317.23,15.7009,4,0
148029,388,302538889,361.127,0.0260441,278.179,26.7478,3,0
148029,388,302539273,389.122,0.00791814,282.99,8.58766,2,0
148029,388,302563577,200.833,0.0599091,204.699,21.2382,3,0
148029,388,302553241,289.221,0.0591456,288.953,24.7798,2,0
148029,388,302586841,341.539,0.0141471,183.873,14.8086,2,0
148029,388,302567777,628.826,0.00166011,252.73,7.07675,3,0
148029,388,302607857,478.795,0.00352467,207.726,10.3731,3,0
148029,388,302615881,258.895,0.0401781,214.437,25.1491,2,0
148029,388,302617441,199.799,0.0332982,183.986,13.2062,2,0
148029,388,302636225,512.278,0.00365115,197.135,11.7115,2,0
148029,388,302624529,289.241,0.0069952,283.073,4.68877,2,0
148029,388,302651257,391.489,0.00294159,176.491,4.98085,2,0
148029,388,302676905,152.416,0.0485789,152.289,13.8518,2,0
148029,388,302676321,285.068,0.015905,224.146,10.4871,2,0
148029,388,302694833,284.994,0.0201942,211.937,13.4153,2,0
148029,388,302698001,276.709,0.0268766,270.156,14.623,2,0
148029,388,302719937,554.99,0.00615423,198.65,20.8518,3,0
148029,388,302720513,223.425,0.046266,218.724,21.6835,2,0
148029,388,302717001,534.54,0.00497155,288.317,11.7202,3,0
148029,388,302751001,326.925,0.022436,266.181,16.3232,2,0
148029,388,302754481,158.356,0.0582799,158.356,16.5843,2,0
148029,388,302757057,287.526,0.0196794,248.263,13.5533,2,0
148029,388,302777145,303.511,0.0163248,290.957,10.4791,3,0
148029,388,302794977,283.958,0.0122972,279.086,7.15571,2,0
148029,388,302811353,250.128,0.016776,171.706,15.7386,2,0
148029,388,302812945,533.796,0.00258169,176.401,9.96468,3,0
148029,388,302833993,296.14,0.0114067,264.465,9.58276,3,0
148029,388,302822729,423.872,0.00766774,226.621,11.3676,3,0
148029,388,302829465,500.168,0.0151199,283.314,24.2969,4,0
148029,388,302848441,335.955,0.041959,343.22,29.5637,4,0
148029,388,302855273,321.093,0.00532303,164.621,7.84841,2,0
148029,388,302850881,226.3,0.100957,185.117,46.269,2,1
148029,388,302856385,659.586,0.00643042,216.865,25.5386,2,0
148029,388,302870649,332.496,0.0116833,165.392,13.482,2,0
148029,388,302874201,270.977,0.00680572,259.282,3.76791,2,1
148029,388,302877273,384.392,0.0243483,225.271,28.7741,2,0
148029,388,302885977,470.332,0.00757397,185.892,17.3013,2,0
148029,388,302888137,375.81,0.000238725,181.808,0.548441,3,0
148029,388,302899633,211.5,0.0281965,195.483,11.3433,2,0
148029,388,302888553,481.347,0.0205598,393.57,23.1635,2,0
148029,388,302911249,352.045,0.0104041,229.611,10.3904,2,0
148029,388,302956969,435.962,0.0065547,205.739,11.9671,2,0
148029,388,302955169,292.113,0.0487264,288.198,26.91,2,0
148029,388,302975665,336.154,0.0129955,213.603,12.3868,2,0
148029,388,302967321,881.611,0.00128463,335.618,10.135,4,0
148029,388,302988385,555.279,0.00286296,207.123,7.0848,2,0
148029,388,303004489,249.797,0.0403964,189.198,25.1541,2,0
148029,388,302890945,1399.31,0.000628953,586.831,12.9959,4,0
148029,388,303032225,205.559,0.0916975,203.598,31.3872,2,0
148029,388,303091281,195.585,0.012711,164.634,5.55737,2,0
148029,388,303097025,380.717,0.00574548,196.479,8.36699,2,0
148029,388,303100329,233.948,0.0162872,157.16,14.1185,2,0
148029,388,303106393,264.759,0.0230277,240.497,11.7768,3,0
148029,388,302338746,361.596,0.00808842,328.895,7.85509,4,0
